regime,prompt_length,finite_softmax_risk,infinite_risk,operator_identity_max_error
isotropic,16,0.2967677800531053,0.0,0.0
isotropic,64,0.07269953381730783,0.0,0.0
isotropic,256,0.01779413956037151,0.0,0.0
isotropic,1024,0.004657575369710884,0.0,0.0
isotropic,4096,0.0011274670015766718,0.0,0.0
toeplitz_rho_0.5,16,0.29679349413975814,5.200010849845537e-33,5.551115123125783e-17
toeplitz_rho_0.5,64,0.08241795910053998,5.200010849845537e-33,5.551115123125783e-17
toeplitz_rho_0.5,256,0.019203265060663225,5.200010849845537e-33,5.551115123125783e-17
toeplitz_rho_0.5,1024,0.004991410748224091,5.200010849845537e-33,5.551115123125783e-17
toeplitz_rho_0.5,4096,0.0012786232624075545,5.200010849845537e-33,5.551115123125783e-17
rotated_condition_8,16,0.3070562467067816,1.3518530658218422e-32,9.87213553952913e-17
rotated_condition_8,64,0.07946090284303356,1.3518530658218422e-32,9.87213553952913e-17
rotated_condition_8,256,0.020013065284158974,1.3518530658218422e-32,9.87213553952913e-17
rotated_condition_8,1024,0.005017387496011635,1.3518530658218422e-32,9.87213553952913e-17
rotated_condition_8,4096,0.0012376759287543876,1.3518530658218422e-32,9.87213553952913e-17
