regime,prompt_length,seed,finite_softmax_risk,parameter_distance_squared,infinite_risk_at_trained
isotropic,16,0,0.29685558566721476,0.010077440542681643,0.010077440542681643
isotropic,16,1,0.30146408712659223,0.015547484082388041,0.015547484082388041
isotropic,16,2,0.29375215072982985,0.0183540461699023,0.0183540461699023
isotropic,64,0,0.07851196612643055,0.005592135359183759,0.005592135359183759
isotropic,64,1,0.07784967691277102,0.003973595956570024,0.003973595956570024
isotropic,64,2,0.08152212726001697,0.005052565582840372,0.005052565582840372
isotropic,256,0,0.021413664574297386,0.0034843401208451124,0.0034843401208451124
isotropic,256,1,0.02062885197106437,0.002141069857194637,0.002141069857194637
isotropic,256,2,0.021946694904606892,0.0031462323200783324,0.0031462323200783324
isotropic,1024,0,0.005383594471789882,0.000649922616689949,0.000649922616689949
isotropic,1024,1,0.005998688951027532,0.0010522543326507371,0.0010522543326507371
isotropic,1024,2,0.005179665774961775,0.0004918209274448607,0.0004918209274448607
toeplitz_rho_0.5,16,0,0.2935556704601461,0.06329847514883878,0.017666350500129727
toeplitz_rho_0.5,16,1,0.28563919553858536,0.05878226840606117,0.018244524107992523
toeplitz_rho_0.5,16,2,0.29803901608063793,0.05969147144242581,0.019591314427564836
toeplitz_rho_0.5,64,0,0.08028982271589732,0.009777716681192294,0.004530441668518132
toeplitz_rho_0.5,64,1,0.08547799582455515,0.012799770347671116,0.007554665183155789
toeplitz_rho_0.5,64,2,0.09065575865557354,0.016043159289835962,0.01168682223450744
toeplitz_rho_0.5,256,0,0.024333392126938455,0.004307592640506332,0.004695627016500001
toeplitz_rho_0.5,256,1,0.027557945981605023,0.0028007825295849643,0.005924554283459265
toeplitz_rho_0.5,256,2,0.020281942580789563,0.0013278811878452762,0.0008288196520744022
toeplitz_rho_0.5,1024,0,0.00769397161860459,0.0008119139731166124,0.002497630618696166
toeplitz_rho_0.5,1024,1,0.00667959257963005,0.000631348286340465,0.002015862417276427
toeplitz_rho_0.5,1024,2,0.005436908382181174,0.00024265725349006934,0.000569856137694698
rotated_condition_8,16,0,0.3204390263040363,0.18871134571572748,0.055285165461289865
rotated_condition_8,16,1,0.28555758453217117,0.18275304460748432,0.027430340774524
rotated_condition_8,16,2,0.284135356707283,0.22826527942678493,0.03216740608322753
rotated_condition_8,64,0,0.08505789671765654,0.03376062667906138,0.012996985117998705
rotated_condition_8,64,1,0.08239073577260879,0.035284760470044134,0.01084825246619553
rotated_condition_8,64,2,0.08368682813802131,0.03165934682302021,0.01139418440445861
rotated_condition_8,256,0,0.022379987872450522,0.007854559113592563,0.004050511429189464
rotated_condition_8,256,1,0.020056263032470725,0.005726540858127875,0.0020677361642558977
rotated_condition_8,256,2,0.02818945487853491,0.005802273370835379,0.007826869685331455
rotated_condition_8,1024,0,0.005256693425462506,0.0004688236343418586,0.00040257898670979694
rotated_condition_8,1024,1,0.007237703951113717,0.0013364728876271068,0.002126839213972411
rotated_condition_8,1024,2,0.007777249561430823,0.0011006682289632873,0.002110648042994004
