regime,prompt_length,seed,query,output_mse,jacobian_u_mse,jacobian_v_mse
isotropic,16,0,0,0.00600681404726271,0.025640894923353547,0.009875522773290209
isotropic,16,0,1,0.0072065579689689204,0.005632734345180627,0.01192104567076573
isotropic,16,0,2,0.006082585478739205,0.0062298369409100485,0.008975620961258328
isotropic,16,0,3,0.008360275843965386,0.048625714809798944,0.013017644681082942
isotropic,16,0,4,0.006230806792176919,0.0016146847364060324,0.010150352865827588
isotropic,16,0,5,0.007601924512181547,0.01057656511106208,0.012292320612110608
isotropic,16,0,6,0.006271815245522241,0.0012733812728880534,0.00971552710019969
isotropic,16,0,7,0.006447625204564243,0.002947001703953208,0.009629409513129971
isotropic,16,0,8,0.006952669517508864,0.011271419171562156,0.009780997611960423
isotropic,16,0,9,0.00817168299505543,0.010496029448265652,0.009477522062351253
isotropic,16,0,10,0.006902288028917767,0.0029268341702500945,0.010954190452441358
isotropic,16,0,11,0.010919734732449064,0.041733561050865044,0.016198635689255034
isotropic,16,0,12,0.009139392781754687,0.011690618954756626,0.009524405878114681
isotropic,16,0,13,0.005859175743088015,0.02480828700188334,0.009298161925184715
isotropic,16,0,14,0.008041906342911164,0.027911856597085973,0.012994066944650962
isotropic,16,0,15,0.006518484391328735,0.005339190230104575,0.00942375860051606
isotropic,16,0,16,0.007877541461201976,0.007099310175802799,0.009442906453220625
isotropic,16,0,17,0.006562093489786104,0.00084025966138785,0.010180944134049165
isotropic,16,0,18,0.006549683228662011,0.005743530697442861,0.01052884440814911
isotropic,16,0,19,0.006865240262970481,0.015934296927596497,0.011250511102511341
isotropic,16,0,20,0.007030689400743023,0.01707069487321553,0.01209297233712603
isotropic,16,0,21,0.006871348321889654,0.003066812889474204,0.00930637919677889
isotropic,16,0,22,0.006728180592149886,0.03275458119571139,0.010365797206644156
isotropic,16,0,23,0.006806103950503833,0.005457675356709907,0.00950867716175947
isotropic,16,0,24,0.007326945773997269,0.003243133867386134,0.009165122547203444
isotropic,16,0,25,0.007437764049187371,0.032642957708854,0.011965683678225515
isotropic,16,0,26,0.007506541003449201,0.01637252632939501,0.00891781069646497
isotropic,16,0,27,0.007711311209088188,0.004864489752757937,0.009337497640553234
isotropic,16,0,28,0.007268581353174234,0.006883261192805747,0.011531820295265931
isotropic,16,0,29,0.006198724004654618,0.009208519231954919,0.009734114432030193
isotropic,16,0,30,0.00672125283474981,0.0016036672727228478,0.009393029362648521
isotropic,16,0,31,0.006793494886639892,0.005329094837724347,0.009796137606320029
isotropic,16,0,32,0.006071204566446661,0.01520857663537446,0.010979575011644021
isotropic,16,0,33,0.006915733912041713,0.004490968779172012,0.011497509380993746
isotropic,16,0,34,0.006700625968939848,0.002965675516507545,0.010003989780996926
isotropic,16,0,35,0.006470565011792847,0.002185989620403007,0.009276378712571386
isotropic,16,1,0,0.03338940706923353,0.022981740869233266,0.02278297603343709
isotropic,16,1,1,0.034119701216016596,0.006566312300789931,0.01997601675454823
isotropic,16,1,2,0.035332333582887974,0.022830670310370393,0.021315349331703613
isotropic,16,1,3,0.035236435476816035,0.007852940445180413,0.02155446295766892
isotropic,16,1,4,0.02912842862008553,0.042334811240475195,0.021120541872510137
isotropic,16,1,5,0.02926152729020364,0.004021898890408087,0.0174275697636376
isotropic,16,1,6,0.03329310588025111,0.006360947876026098,0.01966465182877903
isotropic,16,1,7,0.043435754139831535,0.05556107953573543,0.027890183960629138
isotropic,16,1,8,0.04347862109365797,0.04374093739251045,0.025355510917629172
isotropic,16,1,9,0.02971077134971628,0.02326896297843682,0.018187568151962732
isotropic,16,1,10,0.03219751149565294,0.0010264319629829165,0.019439867098426964
isotropic,16,1,11,0.033624790772243486,0.008830776887186568,0.019353525752131295
isotropic,16,1,12,0.045871475171052487,0.07974257766082853,0.02875232250237859
isotropic,16,1,13,0.057477954658364076,0.10393222475734401,0.042819501524495124
isotropic,16,1,14,0.03221851309423301,0.011084745054600154,0.02179065070975104
isotropic,16,1,15,0.024599110552307152,0.01836055314668683,0.016032853888669284
isotropic,16,1,16,0.028497434325114358,0.0056115366460930075,0.01790388408154372
isotropic,16,1,17,0.03831798190862131,0.027607814637156905,0.02430790826541795
isotropic,16,1,18,0.03521436736146215,0.009485590229546424,0.02108265031682839
isotropic,16,1,19,0.03126388519488511,0.007356433149602584,0.01850070778926676
isotropic,16,1,20,0.03129782765674213,0.006871835309466859,0.019123485530091487
isotropic,16,1,21,0.04024420180981968,0.011468383613898327,0.024478361384300346
isotropic,16,1,22,0.023248985999993067,0.021553226329249046,0.015621961757176981
isotropic,16,1,23,0.055586319444889565,0.0313793479012274,0.03797220170498275
isotropic,16,1,24,0.02873669837582818,0.004563982771054666,0.016607675495505386
isotropic,16,1,25,0.04500582685028479,0.060016048911754584,0.0335398316874576
isotropic,16,1,26,0.025145949208336085,0.019294928859136737,0.015592672507029294
isotropic,16,1,27,0.04850717986488568,0.022597212722318304,0.03221239200810073
isotropic,16,1,28,0.027587622018177497,0.0062302670829633856,0.016493906900339198
isotropic,16,1,29,0.03100662543519905,0.0026362096209294633,0.01832863455471577
isotropic,16,1,30,0.023628608004309805,0.02376142976258723,0.015833309633166467
isotropic,16,1,31,0.030967005392780036,0.0069002174137917935,0.019275194771020777
isotropic,16,1,32,0.035800186687707694,0.007456839616833804,0.021213657526132204
isotropic,16,1,33,0.03174761428471372,0.008624227317450075,0.01969081634547393
isotropic,16,1,34,0.02298795031584804,0.016942430622317976,0.014614670505323111
isotropic,16,1,35,0.033750886972046874,0.008381878940783936,0.020010110897428934
isotropic,16,2,0,0.002788353484050468,0.01879240602902929,0.010444948182243226
isotropic,16,2,1,0.0023205972614605812,0.008305184935299928,0.009853050391049969
isotropic,16,2,2,0.0014356028335550791,0.00240478168155516,0.011136579595846493
isotropic,16,2,3,0.003110500427032306,0.015614443979000352,0.010036467672639262
isotropic,16,2,4,0.0022617029528068963,0.005538705420905317,0.010199591827932905
isotropic,16,2,5,0.0011514638994230824,0.017299056452698764,0.011118665177005852
isotropic,16,2,6,0.0031388066173826112,0.008617684164497229,0.010617411384717498
isotropic,16,2,7,0.0014934394721858196,0.025360143348329187,0.010253162498328043
isotropic,16,2,8,0.002091866581879144,0.007156823059741975,0.009211148826742937
isotropic,16,2,9,0.0019301415044310657,0.007860435756302896,0.013464708168870848
isotropic,16,2,10,0.004568654034744794,0.024386449607013472,0.012238972956696487
isotropic,16,2,11,0.0022571893445134925,0.009104542162389985,0.009225619648452962
isotropic,16,2,12,0.0014242183344571615,0.0022617225154221514,0.009142524265448333
isotropic,16,2,13,0.002232292165902185,0.007903098160613015,0.009541139149478758
isotropic,16,2,14,0.0016835756585424206,0.021905261407875812,0.008296335821721318
isotropic,16,2,15,0.0026557308229463255,0.00904887603050206,0.010225330768942713
isotropic,16,2,16,0.0026504810504115045,0.019712868102146112,0.017670105852605464
isotropic,16,2,17,0.0022757512097103688,0.012554243441835446,0.010989889802395913
isotropic,16,2,18,0.003106581548488729,0.026296369158867246,0.011051446184706819
isotropic,16,2,19,0.00139797664295725,0.0033926962504084706,0.009537917977750969
isotropic,16,2,20,0.002101052558269771,0.01059380339699764,0.012253123938923242
isotropic,16,2,21,0.0024858024108730475,0.0059564011109028,0.00983883775211541
isotropic,16,2,22,0.0012950309070392909,0.02801621159568613,0.010081327922875903
isotropic,16,2,23,0.0016151410470445077,0.02066088532134696,0.014636572346263272
isotropic,16,2,24,0.0026740341943983026,0.033393886331866046,0.012968214983974536
isotropic,16,2,25,0.001127296366386745,0.015005804455424265,0.012084583511549488
isotropic,16,2,26,0.0016517775216789996,0.0015746949664102571,0.010915239129019016
isotropic,16,2,27,0.0013868275241105093,0.0029348430101173075,0.011009614324131615
isotropic,16,2,28,0.002912628899286473,0.03097651937950744,0.009640812837995125
isotropic,16,2,29,0.0018576413025952715,0.006912630280333799,0.013043966476388554
isotropic,16,2,30,0.002400743705678277,0.006580911607982956,0.009892534775269194
isotropic,16,2,31,0.001348525954222505,0.005765799408374613,0.008621787079059173
isotropic,16,2,32,0.002610148773886486,0.01700129364436326,0.012477648769303695
isotropic,16,2,33,0.0021210620174519075,0.018037999334490684,0.009834752723251043
isotropic,16,2,34,0.0031897908898162633,0.020269362521153564,0.009830930806858552
isotropic,16,2,35,0.0013211088017862904,0.005769307280289155,0.010393099715795506
isotropic,16,3,0,0.00398677075544699,0.009331811771653433,0.011792324851036283
isotropic,16,3,1,0.0031188259303733066,0.0011083211020988543,0.0120073668538713
isotropic,16,3,2,0.0029308470850002116,0.002880852181386296,0.01192637048318963
isotropic,16,3,3,0.003527697969411659,0.016063728056395467,0.010904395234172623
isotropic,16,3,4,0.001932682572900875,0.0014074844156665646,0.009220692854964822
isotropic,16,3,5,0.002108626460455898,0.0010487702470990525,0.009355768382191574
isotropic,16,3,6,0.0037824151120211084,0.003867926000866434,0.015079668277504161
isotropic,16,3,7,0.00200329926225273,0.001698137035114166,0.009542276614059089
isotropic,16,3,8,0.0014838313105461946,0.010570313189943305,0.008418322054215603
isotropic,16,3,9,0.002541400224992204,0.0030618253590079204,0.011285008082832497
isotropic,16,3,10,0.0032734849941707445,0.007273063871139233,0.010964496213020704
isotropic,16,3,11,0.0035832861579318713,0.002795514405233252,0.012046268045310875
isotropic,16,3,12,0.003618052952874805,0.0030894000652272272,0.013953757619932297
isotropic,16,3,13,0.002527646584813137,0.01126624826531902,0.00970758118279401
isotropic,16,3,14,0.0054694631481464785,0.008012618739156274,0.01891454212664189
isotropic,16,3,15,0.006068926351281579,0.010844735193054657,0.017307441381753483
isotropic,16,3,16,0.003882128902028788,0.010297937359996819,0.012865633193933934
isotropic,16,3,17,0.0038085412976192915,0.0009451755376087912,0.013178597196138118
isotropic,16,3,18,0.0027405777588271328,0.003691215458005408,0.011884851163772876
isotropic,16,3,19,0.001976079559693091,0.0015207168348061652,0.009246794345664697
isotropic,16,3,20,0.002903279652023083,0.001353656736651351,0.011804911869138793
isotropic,16,3,21,0.00261159781219459,0.0056355773450418424,0.010975730069599524
isotropic,16,3,22,0.003424755914046294,0.001992582448019223,0.011517976645710694
isotropic,16,3,23,0.006475200224858825,0.009051555733744339,0.022455610985100266
isotropic,16,3,24,0.001968093903938652,0.0011184936461655823,0.009236940018888255
isotropic,16,3,25,0.005303618929316333,0.012689148557913293,0.020779948258147548
isotropic,16,3,26,0.0019346618535325455,0.012363302929548443,0.009140328997862083
isotropic,16,3,27,0.0029789016261006856,0.0018276055780756856,0.011362427842693677
isotropic,16,3,28,0.002847492242809601,0.002677373416880552,0.01020208583812373
isotropic,16,3,29,0.005462057762834905,0.004633003216614209,0.016902805827336803
isotropic,16,3,30,0.0024471070437382643,0.011173158480009888,0.009655358978747537
isotropic,16,3,31,0.00275775373022279,0.005295728854725489,0.009762492551398829
isotropic,16,3,32,0.0019468616182638176,0.002295687982841808,0.009299205687813804
isotropic,16,3,33,0.0014563470152061065,0.008886963035513468,0.00887743452116269
isotropic,16,3,34,0.002542806161806081,0.0038784547767572834,0.00996735196030761
isotropic,16,3,35,0.003976049256702394,0.0023804867357268243,0.013268865622732558
isotropic,16,4,0,0.005892739905102387,0.01387783136214909,0.007174591429656248
isotropic,16,4,1,0.008160723747125183,0.003421722880238967,0.007862278581833198
isotropic,16,4,2,0.005194365507433071,0.005783037453577119,0.006251701447431524
isotropic,16,4,3,0.005706602074029062,0.017160455096543126,0.005699089052080543
isotropic,16,4,4,0.010148810653056655,0.012135145098369248,0.009544266904462046
isotropic,16,4,5,0.006799448039585982,0.004890484194450274,0.0066430556224007665
isotropic,16,4,6,0.010044666963578109,0.015706985935041384,0.012308168603397084
isotropic,16,4,7,0.007711085819278233,0.008029727191445287,0.005785777703577976
isotropic,16,4,8,0.006614616967368546,0.013676565059147527,0.004936802229687315
isotropic,16,4,9,0.008013439645682319,0.007309336919541384,0.005878262571465059
isotropic,16,4,10,0.005872676411820441,0.02472606331880687,0.007666710158068475
isotropic,16,4,11,0.008495980230203006,0.007508606011976324,0.009996129403091277
isotropic,16,4,12,0.008103526345707818,0.005825651424696276,0.009119257650046585
isotropic,16,4,13,0.006224475879802511,0.006727973959040599,0.007725760157147045
isotropic,16,4,14,0.00477370401951915,0.01311807178624497,0.005534447862501633
isotropic,16,4,15,0.008945917606771929,0.017712094856396136,0.012630504257391144
isotropic,16,4,16,0.007012774405467971,0.008518826335165866,0.005622660520927674
isotropic,16,4,17,0.007585259031639283,0.010313458416916627,0.008030129418152876
isotropic,16,4,18,0.007099895529874353,0.0032313686898022952,0.007643993114405794
isotropic,16,4,19,0.006162213064383884,0.012037534618063575,0.005691135333475813
isotropic,16,4,20,0.008936272461656158,0.01070787330142335,0.007313366749829396
isotropic,16,4,21,0.006351438305768493,0.026763024970050422,0.009475629455892053
isotropic,16,4,22,0.00836509205419195,0.015691146442495765,0.007654687123446453
isotropic,16,4,23,0.009910044542987132,0.043369983559340665,0.0063406766805984
isotropic,16,4,24,0.005923244835852812,0.004656733441073452,0.0069760556232398106
isotropic,16,4,25,0.00737736644631907,0.0023225255647567854,0.006213553816073438
isotropic,16,4,26,0.008292555768536181,0.027495911645369724,0.005562800748764781
isotropic,16,4,27,0.0069471714069520366,0.003149462005238729,0.006573324386865829
isotropic,16,4,28,0.007038966359904858,0.007659243456904658,0.0054855320747044896
isotropic,16,4,29,0.008468538883792445,0.006861912216104363,0.010495357554289039
isotropic,16,4,30,0.005090772536315002,0.028538089968278314,0.008020252216502244
isotropic,16,4,31,0.009080046722930803,0.015453479709875014,0.008602501708450394
isotropic,16,4,32,0.006859145157867572,0.002858220519167452,0.007026514691112402
isotropic,16,4,33,0.008909094420131686,0.024302769164604023,0.010227039483851312
isotropic,16,4,34,0.008534508488018379,0.008137621077121338,0.008862784383308432
isotropic,16,4,35,0.007748458985233275,0.005055861670575555,0.007470302811850325
isotropic,16,5,0,0.015935468799976468,0.06731039020336288,0.017800446718748617
isotropic,16,5,1,0.011421554388133547,0.0007677967923903113,0.014485970690380908
isotropic,16,5,2,0.015330408938911896,0.013713191071304122,0.017485181904140085
isotropic,16,5,3,0.014691383483167461,0.01295355981101242,0.017440709884282847
isotropic,16,5,4,0.016456723323292465,0.014546863037914623,0.018237121379874148
isotropic,16,5,5,0.014428117198610022,0.035712971477295116,0.017327635182864242
isotropic,16,5,6,0.010722847457343171,0.009656070524220716,0.013861625857467044
isotropic,16,5,7,0.00976414033580528,0.008992604961386602,0.013857578385309861
isotropic,16,5,8,0.013189764547948988,0.012132689119323544,0.01628427510349672
isotropic,16,5,9,0.031217189958459714,0.08789349594223225,0.030856652160887003
isotropic,16,5,10,0.009053561107185231,0.02270843935067935,0.011966604142845227
isotropic,16,5,11,0.012130413642175885,0.011163700581548714,0.01613469241142572
isotropic,16,5,12,0.019343361473084086,0.028541125512584635,0.020552929250527985
isotropic,16,5,13,0.017550634529339443,0.022695655826360427,0.019201822851262956
isotropic,16,5,14,0.010164288594489344,0.01052472288142801,0.013307887970332624
isotropic,16,5,15,0.008066566917773566,0.011544410952543995,0.012103848499542687
isotropic,16,5,16,0.01502251699669339,0.009633332626338401,0.018403830971750704
isotropic,16,5,17,0.0071869919578236895,0.020646875104402884,0.009689776477053224
isotropic,16,5,18,0.0130553682986757,0.010237575905594784,0.015817246427960077
isotropic,16,5,19,0.01914746673340602,0.09362670497977468,0.02008219971595675
isotropic,16,5,20,0.0075843903820560065,0.05799331007241041,0.00999778368908891
isotropic,16,5,21,0.009157448033786836,0.005180265619191987,0.012514790966093309
isotropic,16,5,22,0.011495122809153893,0.024157154011149144,0.0135887112840642
isotropic,16,5,23,0.009135111493263593,0.013865891115415724,0.012162096918544196
isotropic,16,5,24,0.012765416733959051,0.03472918604785217,0.015712871585223855
isotropic,16,5,25,0.013268834515143619,0.026141647863546474,0.01629443772425421
isotropic,16,5,26,0.015567323238030315,0.046423497296182684,0.01660403090189962
isotropic,16,5,27,0.013950801253927239,0.012734150574400093,0.017796718774893194
isotropic,16,5,28,0.016422130754292233,0.02410556293172648,0.019297122126155367
isotropic,16,5,29,0.009781209228142476,0.030195923746865472,0.012754305746893754
isotropic,16,5,30,0.007631900657024658,0.01160205845840832,0.010572234427806644
isotropic,16,5,31,0.013368343208718055,0.007203398554764135,0.016562320769462107
isotropic,16,5,32,0.008194088502684363,0.012818403722656763,0.011799753632227126
isotropic,16,5,33,0.013249598862295677,0.026880514574006132,0.016265412091821477
isotropic,16,5,34,0.005265169833408568,0.05980514935248705,0.007294909638149549
isotropic,16,5,35,0.00948642617944855,0.01774303776110756,0.012524198321359911
isotropic,16,6,0,0.0014582559830934151,0.02404861125485657,0.024014569791738917
isotropic,16,6,1,0.0028245245292895494,0.008788561558288444,0.021335850661073474
isotropic,16,6,2,0.0032910080099476493,0.005508903324559923,0.015523535703975785
isotropic,16,6,3,0.010452977674699635,0.030531442308067466,0.022386372895785475
isotropic,16,6,4,0.0058795300895491,0.010098141019185365,0.012145099660606642
isotropic,16,6,5,0.010876102863629274,0.07396510644025628,0.026962163323853865
isotropic,16,6,6,0.003725280044477037,0.007065819218927176,0.01710887059793214
isotropic,16,6,7,0.027655657000692075,0.19782183757982197,0.022448448719629192
isotropic,16,6,8,0.00600821980071824,0.017356943193707553,0.017548062014979392
isotropic,16,6,9,0.0031666017210713396,0.013441664708385261,0.011786929065147448
isotropic,16,6,10,0.012528476402680892,0.02916125287537448,0.016090469953299037
isotropic,16,6,11,0.002625259482662848,0.012858787294884544,0.020156138565674612
isotropic,16,6,12,0.003456982434368659,0.01241508423111357,0.010024723241544133
isotropic,16,6,13,0.002842234638913066,0.0021733568084311783,0.015641718240955067
isotropic,16,6,14,0.004452545931973772,0.015226593939320745,0.011186471355729928
isotropic,16,6,15,0.0029943829527892415,0.002724734321890467,0.013155786963647621
isotropic,16,6,16,0.005457012438546391,0.02520051416549596,0.008075876103246163
isotropic,16,6,17,0.002198196094418146,0.005636897833745403,0.01939591728213684
isotropic,16,6,18,0.007807292752145365,0.049017419695050746,0.0175072926817003
isotropic,16,6,19,0.004053382871751947,0.021716884238718464,0.013184385294019786
isotropic,16,6,20,0.003884245301232675,0.002135753267254859,0.014385759976754238
isotropic,16,6,21,0.00453534896019684,0.057989676993124496,0.01660136649660351
isotropic,16,6,22,0.0036372120581661836,0.02190616900584528,0.032473507596056404
isotropic,16,6,23,0.0016759011957401381,0.02469555294097502,0.017686604205559172
isotropic,16,6,24,0.005324708183601683,0.008078550551350271,0.013755869350215373
isotropic,16,6,25,0.0026900278903254685,0.012616434842852341,0.01891587584483381
isotropic,16,6,26,0.006718714741419043,0.0176302910621449,0.014472545186301996
isotropic,16,6,27,0.004648297629701009,0.00422426673744145,0.013464908524172349
isotropic,16,6,28,0.008545907912666432,0.1275241344828266,0.011740978911818307
isotropic,16,6,29,0.0029935749937023085,0.009809147941710856,0.019223589858556007
isotropic,16,6,30,0.005852804834746485,0.03632571571680113,0.008488878139440117
isotropic,16,6,31,0.005546831164369017,0.027447192490115565,0.013141004178505031
isotropic,16,6,32,0.00198738463460832,0.008333228304074247,0.02190662900936732
isotropic,16,6,33,0.003613534578595471,0.0052335322838234855,0.01638689372313369
isotropic,16,6,34,0.0029868676839178137,0.013285061310765468,0.02032986836467447
isotropic,16,6,35,0.0028988792272550074,0.014875832171116175,0.010340086088662551
isotropic,16,7,0,0.009775513966724705,0.03538720208108127,0.013201237528052183
isotropic,16,7,1,0.0069845774633638304,0.016031518718301652,0.01041019886415297
isotropic,16,7,2,0.017512556106533766,0.049742668026654654,0.01974274383341023
isotropic,16,7,3,0.0065724357800834975,0.024935978272020688,0.009966925444254787
isotropic,16,7,4,0.007320510906400978,0.052383408945209375,0.01070148365093818
isotropic,16,7,5,0.01793663322537342,0.05798508427511992,0.02035655935245477
isotropic,16,7,6,0.012529611772660772,0.0833600406662329,0.014948220596787035
isotropic,16,7,7,0.011443596465381999,0.011924342537730972,0.014561498865060002
isotropic,16,7,8,0.005276902035343277,0.03238839261548997,0.008489440523641473
isotropic,16,7,9,0.005108119301613936,0.03509047709984256,0.008221410529636406
isotropic,16,7,10,0.005767617689406685,0.25263137290094345,0.008741024517513758
isotropic,16,7,11,0.006490649141995036,0.04672669713773999,0.009833277127841279
isotropic,16,7,12,0.008023080574733513,0.020238860816002156,0.01106422313264743
isotropic,16,7,13,0.011560415602465597,0.07531003963450386,0.012698244218221893
isotropic,16,7,14,0.005515232873689676,0.025962340899569177,0.008755212269488733
isotropic,16,7,15,0.011480798504084247,0.012082342566748566,0.013883308320824659
isotropic,16,7,16,0.0051827661994868395,0.04139269083928257,0.008337876181619124
